date,open,high,low,close,volume
2026-02-05 10:30:00,21.9,22.46,21.61,21.66,431728
2026-02-05 11:30:00,21.66,21.87,21.54,21.58,160007
2026-02-05 14:00:00,21.59,21.84,21.42,21.79,152273
2026-02-05 15:00:00,21.8,21.91,21.73,21.76,151955
2026-02-06 10:30:00,21.89,21.89,21.1,21.67,295245
2026-02-06 11:30:00,21.66,22.25,21.64,22.04,189062
2026-02-06 14:00:00,22.03,22.16,21.8,22.11,138909
2026-02-06 15:00:00,22.12,22.22,21.99,21.99,144920
2026-02-09 10:30:00,22.4,22.67,22.04,22.25,369384
2026-02-09 11:30:00,22.24,22.77,22.09,22.61,165791
2026-02-09 14:00:00,22.61,22.61,22.38,22.39,96756
2026-02-09 15:00:00,22.39,22.49,22.32,22.44,100635
2026-02-10 10:30:00,22.5,23.68,22.29,23.2,467286
2026-02-10 11:30:00,23.2,23.24,23.02,23.11,184995
2026-02-10 14:00:00,23.12,23.41,23.02,23.32,123375
2026-02-10 15:00:00,23.3,23.4,23.23,23.32,129439
2026-02-11 10:30:00,24.0,25.65,23.99,25.65,594178
2026-02-11 11:30:00,25.65,25.65,25.49,25.65,325372
2026-02-11 14:00:00,25.65,25.65,25.63,25.65,124117
2026-02-11 15:00:00,25.65,25.65,25.65,25.65,23683
2026-02-12 10:30:00,26.4,27.83,26.19,27.12,1573674
2026-02-12 11:30:00,27.12,27.38,26.96,27.05,369936
2026-02-12 14:00:00,27.04,27.55,27.04,27.26,335552
2026-02-12 15:00:00,27.25,27.51,27.24,27.48,233448
2026-02-13 10:30:00,26.8,26.93,26.06,26.36,631868
2026-02-13 11:30:00,26.35,26.37,26.0,26.05,223095
2026-02-13 14:00:00,26.11,26.24,25.81,26.0,182830
2026-02-13 15:00:00,26.0,26.02,25.59,25.73,286492
2026-02-24 10:30:00,27.3,28.1,27.1,27.84,747503
2026-02-24 11:30:00,27.86,28.3,27.77,28.3,316773
2026-02-24 14:00:00,28.3,28.3,28.3,28.3,55654
2026-02-24 15:00:00,28.3,28.3,28.07,28.3,158369
2026-02-25 10:30:00,28.44,28.58,27.36,27.55,773774
2026-02-25 11:30:00,27.55,27.64,27.2,27.42,253881
2026-02-25 14:00:00,27.45,28.05,27.43,27.58,267072
2026-02-25 15:00:00,27.58,27.66,27.37,27.62,284905
2026-02-26 10:30:00,27.42,28.88,26.96,28.13,705467
2026-02-26 11:30:00,28.13,28.35,27.81,28.22,179354
2026-02-26 14:00:00,28.26,28.66,28.08,28.42,231902
2026-02-26 15:00:00,28.43,28.7,28.36,28.5,259992
2026-02-27 10:30:00,27.6,27.98,26.97,26.97,651505
2026-02-27 11:30:00,26.98,27.36,26.78,27.05,318250
2026-02-27 14:00:00,27.05,27.19,26.8,27.04,220646
2026-02-27 15:00:00,27.04,27.1,26.92,27.04,233560
2026-03-02 10:30:00,26.31,28.23,26.31,28.1,609724
2026-03-02 11:30:00,28.1,28.7,28.01,28.36,285123
2026-03-02 14:00:00,28.36,28.63,28.22,28.31,146355
2026-03-02 15:00:00,28.31,28.44,28.18,28.35,169077
2026-03-03 10:30:00,28.4,28.89,27.01,27.13,589898
2026-03-03 11:30:00,27.11,27.48,27.03,27.05,167774
2026-03-03 14:00:00,27.05,27.08,26.51,26.62,268724
2026-03-03 15:00:00,26.62,26.7,26.38,26.45,299409
2026-03-04 10:30:00,26.25,27.27,26.25,26.87,373084
2026-03-04 11:30:00,26.85,26.9,26.32,26.39,180645
2026-03-04 14:00:00,26.41,26.7,26.41,26.56,117981
2026-03-04 15:00:00,26.54,26.54,26.32,26.42,199119
2026-03-05 10:30:00,27.3,28.05,26.9,27.84,503532
2026-03-05 11:30:00,27.84,28.15,27.56,27.71,170549
2026-03-05 14:00:00,27.7,27.7,27.27,27.3,133863
2026-03-05 15:00:00,27.3,27.4,27.1,27.39,150484
2026-03-06 10:30:00,27.1,27.25,26.0,26.44,441507
2026-03-06 11:30:00,26.44,26.86,26.4,26.64,100666
2026-03-06 14:00:00,26.65,26.73,26.48,26.5,93093
2026-03-06 15:00:00,26.5,26.53,26.18,26.35,222758
2026-03-09 10:30:00,25.13,25.5,24.52,24.89,477051
2026-03-09 11:30:00,24.88,25.3,24.87,25.25,114087
2026-03-09 14:00:00,25.25,25.75,25.02,25.74,117707
2026-03-09 15:00:00,25.73,26.2,25.71,26.0,202523
2026-03-10 10:30:00,26.6,27.25,26.3,26.83,340066
2026-03-10 11:30:00,26.81,27.1,26.64,26.64,96926
